,Ticker,Start_Date,End_Date,Mean_Return,Volatility,Max_Return,Min_Return,kurtosis,skewness
0,SPY,2020-01-02,2025-01-01,0.0617613848086596,1.322705315332668,9.06031990829559,-10.94238156273133,11.508191883797126,-0.5423830201849188
1,SPY,2020-01-03,2025-01-02,0.0624134433857673,1.3230297708175127,9.060335385365947,-10.942360277225385,11.506430461985373,-0.5437020649677586
2,SPY,2020-01-04,2025-01-03,0.0619140694005965,1.323027586368222,9.060320579045577,-10.94238223728129,11.505786748604814,-0.5425969673314132
3,SPY,2020-01-05,2025-01-04,0.062859534420631,1.3229266410026006,9.060335385365947,-10.942376747268325,11.50072163861256,-0.5438577028177592
4,SPY,2020-01-06,2025-01-05,0.0628595375415939,1.3229262448692638,9.060327311455229,-10.942382911831338,11.500734707968087,-0.5438606589722882
5,SPY,2020-01-07,2025-01-06,0.0631334299063511,1.3234169506472149,9.060328652956407,-10.942354112661237,11.491215613312834,-0.5442946889968917
6,SPY,2020-01-08,2025-01-07,0.063167755125494,1.3234307883414094,9.060352203943475,-10.942398032765254,11.490777993908196,-0.5443430525009824
7,SPY,2020-01-09,2025-01-08,0.0617278891733076,1.3237429693209533,9.060312505135949,-10.942365092691295,11.4750777661891,-0.5413588850298645
8,SPY,2020-01-10,2025-01-09,0.0620733423934751,1.3237099754413415,9.06034413002972,-10.942398707316114,11.477259672233444,-0.5421661312671128
9,SPY,2020-01-11,2025-01-10,0.0615747838101139,1.3241193148518573,9.060335385365947,-10.942380888181448,11.469996908780285,-0.5410492255337196
10,SPY,2020-01-12,2025-01-11,0.0603102268367583,1.324350388290781,9.060336726868435,-10.942360277225385,11.447881298861232,-0.5388393809463685
11,SPY,2020-01-13,2025-01-12,0.0603102278034724,1.3243498630819863,9.06031990829559,-10.942358253579298,11.447820169845713,-0.5388388923599029
12,SPY,2020-01-14,2025-01-13,0.0604797427552193,1.3248635105803463,9.060321249795678,-10.94237193180414,11.437292438267145,-0.539029733599216
13,SPY,2020-01-15,2025-01-14,0.0604232417679089,1.3248593765494132,9.060305101976308,-10.942400056418078,11.437472588424786,-0.5389108112995021
14,SPY,2020-01-16,2025-01-15,0.0598700814121051,1.3246820281821543,9.060321249795678,-10.94239254275462,11.444243907808357,-0.5380286474447742
15,SPY,2020-01-17,2025-01-16,0.0610714297095507,1.3255930082301235,9.060320579045577,-10.942382911831338,11.408879990696228,-0.5377786050050841
16,SPY,2020-01-18,2025-01-17,0.0610742451259528,1.325592130106822,9.060334714614848,-10.9423596026766,11.4089588823366,-0.5377843070676571
17,SPY,2020-01-19,2025-01-18,0.0618249456869233,1.3253310889504162,9.060319237545688,-10.942365092691295,11.410150027319398,-0.5390865972642276
18,SPY,2020-01-20,2025-01-19,0.0618249565871838,1.3253312749116242,9.060304431227497,-10.942382911831338,11.410213447448836,-0.5390914918134693
19,SPY,2020-01-21,2025-01-20,0.0618249499323285,1.3253313882836515,9.060313846634948,-10.942387727293578,11.410225209373712,-0.5390889839568316
20,SPY,2020-01-22,2025-01-21,0.0618645774862139,1.3258592727083132,9.06034211777449,-10.94241585189667,11.398946547693368,-0.5389646265442632
21,SPY,2020-01-23,2025-01-22,0.0625025899059931,1.3260768240839007,9.060305101976308,-10.94238223728129,11.390576277695644,-0.5399348473730885
22,SPY,2020-01-24,2025-01-23,0.0636591040474399,1.325878819862056,9.060327982205774,-10.942363743593395,11.40088028842175,-0.5424573780987207
